,title,category,price,brand
0,"Amazon Fire Phone, 32GB (AT&T)",Electronics,449.00,Amazon
1,"Amazon Fire Phone, 64GB (AT&T)",Electronics,549.00,Amazon
2,"Fire HD 6, 6"" HD Display, Wi-Fi, 8 GB - Includes Special Offers, Black",Electronics,99.00,Amazon
3,Amazon Premium Headphones,Accessory,24.99,Amazon
4,"Fire Phone Case, CINEYO(TM) heavy Duty Rugged Dual Layer Case with kickstand (Amazon Fire Phone Case Black) (Black) (Black)",Wireless Phone Accessory,24.99,Cineyo
5,"Fire Phone Case, [Star Bling] Case for Amazon Fire Phone, For Girls & Women (Lifetime Warranty) [Emerald Mint] - Dual Layer Protection [Soft Hard Tough Case] Stylish 2014 Luxury Design - Premium Custom Slim Fit",Wireless Phone Accessory,24.99,SnazzyCase
6,"Fire HD 6, 6"" HD Display, Wi-Fi, 8 GB - Includes Special Offers, White",Electronics,99.00,Amazon
7,"Amazon Leather Case for Fire Phone, Cayenne",Accessory,34.99,Amazon
8,Fire TV Stick,Electronics,39.00,Amazon
9,"SUPCASE Amazon Fire Phone Case - Unicorn Beetle PRO Series Full-body Hybrid Protective Case with Built-in Screen Protector (Black/Black), Dual Layer Design/Impact Resistant Bumper, Compatible with Fire Phone 2014 Release",Wireless Phone Accessory,39.99,Supcase
10,"Fire Phone Case, CINEYO(TM) heavy Duty Rugged Dual Layer Case with kickstand (Amazon Fire Phone Case Black) (Black) (Green)",Wireless Phone Accessory,24.99,Cineyo
11,MPERO SNAPZ Series Rubberized Case for Amazon Fire Phone - Black Paisley,Wireless Phone Accessory,500,Empire
12,"Fire Phone Case, CINEYO(TM) heavy Duty Rugged Dual Layer Case with kickstand (Amazon Fire Phone Case Black) (Black) (Purple)",Wireless Phone Accessory,24.99,Cineyo
13,Amazon Fire Phone: All You Need to Know About the First Ever Smartphone from Amazon,Kindle Edition,500,
14,"Fire HD 6, 6"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Black",Electronics,119.00,Amazon
15,"Fire Phone Case, CINEYO(TM) heavy Duty Rugged Dual Layer Case with kickstand (Amazon Fire Phone Case Black) (Black) (Blue)",Wireless Phone Accessory,24.99,Cineyo
16,"Fire Phone Case, Spigen® [AIR CUSHION] [+Screen Shield] Amazon Fire Phone Case Bumper ULTRA HYBRID Series [Mint] Clear Back Panel Protective Bumper Case with 4-Point Rear Guard + Air Cushion Technology Corners + Full HD Japanese Screen Protector for Amazon Fire Phone (2014) - ECO-Friendly Packaging - Mint (SGP11012)",Wireless Phone Accessory,19.99,Spigen
